millis,action,mouse.x,mouse.y
2544,mousePosition,10.8,46.8
3502,mousePosition,1125.6,924.0
4436,mousePosition,1471.2,1078.8
5424,mousePosition,1471.2,1078.8
6338,mousePosition,1471.2,1078.8
7228,mousePosition,1471.2,1078.8
8149,mousePosition,1020.0,1040.4
8206,mouseReleased,1021.2,1040.4
9074,mousePosition,198.0,482.4
9244,mouseReleased,198.0,482.4
9978,mousePosition,939.6,628.8
10389,mouseReleased,913.2,628.8
10874,mousePosition,655.2,630.0
11797,mousePosition,1009.2,960.0
12309,mouseReleased,662.4,884.4
12713,mousePosition,1010.4,1018.8
12971,mouseReleased,1029.6,1033.2
13605,mousePosition,1143.6,945.6
14242,mouseReleased,1480.8,591.6
14534,mousePosition,1435.2,603.6
15489,mousePosition,72.0,580.8
15633,mouseReleased,63.6,577.2
16394,mousePosition,1357.2,660.0
16623,mouseReleased,1383.6,649.2
17306,mousePosition,1161.6,644.4
18210,mousePosition,1122.0,624.0
18585,mouseReleased,1122.0,624.0
19147,mousePosition,1766.4,704.4
19620,mouseReleased,1830.0,804.0
20067,mousePosition,1143.6,654.0
20563,mouseReleased,1138.8,628.8
20961,mousePosition,1130.4,634.8
21115,mouseReleased,1129.2,631.2
21906,mousePosition,1656.0,640.8
22210,mouseReleased,1657.2,644.4
22864,mousePosition,1266.0,543.6
23528,mouseReleased,457.2,656.4
23756,mousePosition,1494.0,664.8
24079,mouseReleased,1675.2,640.8
24698,mousePosition,1294.8,807.6
25161,mouseReleased,500.4,684.0
25615,mousePosition,1670.4,640.8
25727,mouseReleased,1675.2,638.4
26534,mousePosition,1316.4,789.6
26969,mouseReleased,427.2,680.4
27394,mousePosition,1684.8,662.4
27551,mouseReleased,1698.0,655.2
28356,mousePosition,1183.2,472.8
28907,mouseReleased,490.8,664.8
29260,mousePosition,1618.8,621.6
29482,mouseReleased,1678.8,610.8
30123,mousePosition,960.0,603.6
30413,mouseReleased,448.8,640.8
31038,mousePosition,1483.2,664.8
31911,mousePosition,1740.0,1021.2
32809,mousePosition,1777.2,1034.4
33065,mouseReleased,1777.2,1034.4
33671,mousePosition,1135.2,840.0
34204,mouseReleased,1872.0,600.0
34649,mousePosition,1233.6,639.6
34879,mouseReleased,1366.8,608.4
